,gene0,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99
cell0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,3,0,0,0,0,1,2,0,2,5,0,5,0,1,0,0,4,1,4,0,2,0,5,0,0,0,2,2,0,0,0,3,0,1,0,0,3,0,0,0,0,0,4,4,0
cell1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,4,5,0,3,0,0,0,0,0,8,0,4,7,3,0,0,4,0,0,1,2,9,0,1,0,3,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
cell2,0,36,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,2,5,2,0,0,2,0,0,3,8,0,1,0,0,1,0,4,4,2,2,1,0,0,0,0,4,1,1,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
cell3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,0,0,0,5,3,1,2,0,0,1,0,2,3,0,5,3,0,0,0,0,5,0,3,4,3,0,0,0,5,0,2,0,0,0,2,1,0,2,0,4,2,0,3,0,0,2,0,0,0,3,2
cell6,0,12,0,0,0,1,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,2,0,5,0,0,2,1,0,0,0,4,0,5,2,0,1,0,6,1,0,1,0,4,6,6,0,6,5,0,0,0,1,0,6,7,3,5,0,3,0,3,3,4,5,3,0,2,0,0,0,1,1,3,0,7,0,0,0,0,0,0,3,0
cell7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell8,0,3,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,2,0,0,0,4,3,4,2,5,0,0,0,0,3,3,0,1,4,0,0,0,0,0,0,3,2,0,0,3,5,9,0,2,2,0,0,0,0,0,1,5,0,4,0,1,1,0,0,0,0,0,3,0
cell9,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,5,0,0,0,2,3,7,4,0,0,0,0,0,3,1,0,5,0,0,0,0,1,1,7,2,3,2,0,0,0,2,2,0,2,0,0,3,0,0,3,0,5,0,0,4,1,0,0,0,0,0,0,0
